cluster_id,original_label,LATITUDE,LONGITUDE,INSPECTION_YEAR,INSPECTION_DATE,SPECIES,LANDOWNER_TYPE
54,64,30.413139,-97.682035,2015,2015-10-26,Live Oak,Private
54,64,30.414299,-97.681794,2016,2016-06-07,Live Oak,Private
54,64,30.414294,-97.681786,2016,2016-06-07,Live Oak,Private
54,64,30.41439,-97.682547,2017,2017-05-24,Live Oak,Unknown
54,64,30.41447,-97.683108,2017,2017-10-27,Live Oak,Public
54,64,30.413782,-97.682001,2017,2017-10-27,Live Oak,Public
54,64,30.413553,-97.682029,2017,2017-10-27,Live Oak,Public
54,64,30.414185,-97.681811,2017,2017-10-27,Live Oak,Public
54,64,30.413547,-97.682021,2017,2017-10-27,Live Oak,Municipal - ROW
54,64,30.414465,-97.6831,2017,2017-10-27,Live Oak,Municipal - ROW
54,64,30.414587,-97.68289,2017,2017-10-27,Live Oak,Municipal - ROW
54,64,30.41438,-97.683167,2017,2017-10-27,Live Oak,Municipal - ROW
54,64,30.413776,-97.681993,2017,2017-10-27,Live Oak,Municipal - ROW
54,64,30.413742,-97.681982,2017,2017-10-27,Live Oak,Municipal - ROW
54,64,30.414371,-97.682421,2017,2017-10-27,Live Oak,Municipal - ROW
54,64,30.414341,-97.682364,2017,2017-10-27,Live Oak,Municipal - ROW
54,64,30.414556,-97.683037,2017,2017-10-27,Live Oak,Municipal - ROW
54,64,30.41418,-97.681804,2017,2017-10-27,Live Oak,Municipal - ROW
54,64,30.413379,-97.682093,2017,2017-10-30,Live Oak,Public
54,64,30.413179,-97.6821,2017,2017-10-30,Live Oak,Public
54,64,30.413174,-97.682093,2017,2017-10-30,Live Oak,Municipal - ROW
54,64,30.413115,-97.682098,2017,2017-10-30,Live Oak,Municipal - ROW
54,64,30.413374,-97.682086,2017,2017-10-30,Live Oak,Municipal - ROW
54,64,30.413308,-97.682088,2017,2017-10-30,Live Oak,Municipal - ROW
55,65,30.232332,-97.758355,2012,2012-05-17,Live Oak,Unknown
55,65,30.232327,-97.758293,2013,2013-04-29,Live Oak,Unknown
55,65,30.232309,-97.758325,2016,2016-02-17,Live Oak,Unknown
55,65,30.231574,-97.758016,2017,2017-03-01,Live Oak,Private
55,65,30.232195,-97.757568,2018,2018-07-03,Live Oak,Private
55,65,30.231902,-97.757506,2018,2018-07-03,Live Oak,Private
55,65,30.231746,-97.757441,2018,2018-07-03,Live Oak,Private
55,65,30.231928,-97.757948,2018,2018-07-03,Live Oak,Private
55,65,30.231708,-97.757496,2018,2018-07-03,Live Oak,Private
56,66,30.184067,-97.827206,2013,2013-05-13,"Live Oak, Red Oak",Unknown
56,66,30.18444,-97.827028,2013,2013-05-21,"Live Oak, Red Oak",Unknown
56,66,30.18444,-97.827028,2014,2014-09-29,"Live Oak, Red Oak",Unknown
57,68,30.261204,-97.806681,2013,2013-07-01,Live Oak,Private
57,68,30.261495,-97.807141,2013,2013-07-09,"Live Oak, Red Oak",Unknown
57,68,30.261755,-97.806655,2013,2013-07-09,Live Oak,Unknown
57,68,30.261296,-97.806944,2013,2013-07-09,Live Oak,Unknown
57,68,30.261875,-97.806868,2016,2016-12-29,Live Oak,Private
58,69,30.191785,-97.802078,2012,2012-08-21,Live Oak,Unknown
58,69,30.192116,-97.802265,2013,2013-08-01,Live Oak,Unknown
58,69,30.191728,-97.802812,2013,2013-08-21,Live Oak,Unknown
58,69,30.191728,-97.802812,2014,2014-09-11,Live Oak,Unknown
59,70,30.250273,-97.78034,2014,2014-01-29,Live Oak,Unknown
59,70,30.250122,-97.780227,2014,2014-02-13,Live Oak,Private
59,70,30.250116,-97.78022,2014,2014-02-13,Live Oak,Private
59,70,30.250204,-97.780151,2014,2014-02-13,Live Oak,Private
59,70,30.250273,-97.78034,2014,2014-04-15,Live Oak,Unknown
59,70,30.250109,-97.78079,2014,2014-04-30,Live Oak,Unknown
59,70,30.24958,-97.780038,2015,2015-06-02,Live Oak,Public
59,70,30.249575,-97.780031,2015,2015-06-02,Live Oak,Municipal - ROW
59,70,30.24984,-97.780014,2015,2015-06-03,Live Oak,Unknown
59,70,30.250273,-97.78034,2015,2015-08-04,Live Oak,Unknown
59,70,30.249612,-97.780008,2016,2016-10-27,Live Oak,Private
59,70,30.24958,-97.780038,2016,2016-11-21,Live Oak,Public
59,70,30.249575,-97.780031,2016,2016-11-21,Live Oak,Municipal - ROW
59,70,30.249496,-97.779861,2016,2016-12-06,Live Oak,Public
59,70,30.24948,-97.779807,2017,2017-01-12,Live Oak,Private
59,70,30.249551,-97.779371,2017,2017-02-07,Live Oak,Unknown
59,70,30.249539,-97.779468,2017,2017-02-07,Live Oak,Unknown
59,70,30.250122,-97.780227,2017,2017-06-27,Live Oak,Private
59,70,30.250116,-97.78022,2017,2017-06-27,Live Oak,Private
59,70,30.250204,-97.780151,2017,2017-06-27,Live Oak,Private
59,70,30.249399,-97.780549,2017,2017-06-29,Live Oak,Public
59,70,30.249393,-97.780542,2017,2017-06-29,Live Oak,Municipal - ROW
59,70,30.248703,-97.779841,2017,2017-07-06,Live Oak,Public
59,70,30.248698,-97.779833,2017,2017-07-06,Live Oak,Municipal - ROW
59,70,30.24958,-97.780038,2017,2017-07-27,Live Oak,Public
59,70,30.249575,-97.780031,2017,2017-07-27,Live Oak,Municipal - ROW
59,70,30.249265,-97.780629,2017,2017-08-01,Live Oak,Municipal - ROW
59,70,30.249105,-97.779622,2017,2017-10-01,Live Oak,Private
59,70,30.249075,-97.779638,2018,2018-05-15,Live Oak,Private
59,70,30.249563,-97.779758,2018,2018-05-15,Live Oak,Public
59,70,30.249656,-97.779879,2018,2018-05-15,Live Oak,Public
59,70,30.249491,-97.779854,2019,2019-07-26,Live Oak,Public
60,71,30.201281,-97.815163,2014,2014-04-16,Live Oak,Unknown
60,71,30.200692,-97.814704,2015,2015-03-26,Live Oak,Unknown
60,71,30.200865,-97.814994,2015,2015-04-20,Live Oak,Unknown
60,71,30.20047,-97.81432,2015,2015-04-23,Live Oak,Unknown
60,71,30.200884,-97.815475,2015,2015-08-19,Live Oak,Public
60,71,30.200879,-97.815468,2015,2015-08-19,Live Oak,Municipal - ROW
60,71,30.200866,-97.815395,2015,2015-08-19,Live Oak,Private
60,71,30.200608,-97.815171,2015,2015-08-20,Live Oak,Private
60,71,30.200728,-97.815568,2015,2015-08-20,Live Oak,Private
60,71,30.200723,-97.815561,2015,2015-08-20,Live Oak,Private
60,71,30.200603,-97.815164,2015,2015-08-20,Live Oak,Private
60,71,30.200692,-97.814704,2016,2016-04-26,Live Oak,Unknown
60,71,30.20073,-97.815258,2017,2017-02-07,Live Oak,Private
60,71,30.201433,-97.815146,2017,2017-02-07,Live Oak,Unknown
60,71,30.200871,-97.815403,2017,2017-11-13,Live Oak,Private
60,71,30.200879,-97.815468,2017,2017-11-13,Live Oak,Municipal - ROW
60,71,30.200866,-97.815395,2017,2017-11-13,Live Oak,Private
61,72,30.386123,-97.677924,2014,2014-06-10,Live Oak,Unknown
61,72,30.386032,-97.677578,2014,2014-06-21,Live Oak,Public
61,72,30.386026,-97.677571,2014,2014-06-21,Live Oak,Municipal - ROW
61,72,30.386088,-97.677523,2014,2014-06-21,Live Oak,Municipal - ROW
61,72,30.386032,-97.677578,2016,2016-06-03,Live Oak,Public
61,72,30.386199,-97.677451,2016,2016-06-03,Live Oak,Public
61,72,30.386334,-97.677548,2016,2016-06-03,Live Oak,Private
61,72,30.386026,-97.677571,2016,2016-06-03,Live Oak,Municipal - ROW
61,72,30.386329,-97.677541,2016,2016-06-03,Live Oak,Private
61,72,30.386193,-97.677443,2016,2016-06-03,Live Oak,Municipal - ROW
61,72,30.386281,-97.677373,2016,2016-06-03,Live Oak,Municipal - ROW
61,72,30.386088,-97.677523,2016,2016-06-04,Live Oak,Municipal - ROW
62,73,30.266474,-97.805342,2014,2014-08-14,Live Oak,Public
62,73,30.266469,-97.805334,2014,2014-08-14,Live Oak,Municipal - ROW
62,73,30.266336,-97.804657,2015,2015-06-02,Live Oak,Unknown
62,73,30.266566,-97.805055,2016,2016-01-25,Live Oak,Unknown
62,73,30.266719,-97.805884,2016,2016-12-29,Live Oak,Private
62,73,30.266923,-97.805864,2017,2017-07-06,Live Oak,Public
62,73,30.266918,-97.805857,2017,2017-07-06,Live Oak,Municipal - ROW
62,73,30.266271,-97.805603,2017,2017-08-22,Live Oak,Public
62,73,30.266474,-97.805342,2017,2017-08-22,Live Oak,Public
62,73,30.266266,-97.805595,2017,2017-08-22,Live Oak,Municipal - ROW
62,73,30.266469,-97.805334,2017,2017-08-22,Live Oak,Municipal - ROW
62,73,30.267272,-97.806128,2019,2019-07-25,Live Oak,
63,74,30.198044,-97.8525,2012,2012-09-25,Live Oak,Unknown
63,74,30.198445,-97.852248,2014,2014-08-19,Live Oak,Unknown
63,74,30.198233,-97.852376,2017,2017-01-12,Live Oak,Private
64,75,30.202802,-97.821332,2014,2014-09-02,Live Oak,Unknown
64,75,30.202943,-97.820794,2014,2014-09-02,Live Oak,Private
64,75,30.202964,-97.821204,2017,2017-01-30,Live Oak,Private
64,75,30.202906,-97.820865,2017,2017-01-30,Live Oak,Unknown
66,77,30.382461,-97.678082,2015,2015-04-21,Live Oak,Unknown
66,77,30.382495,-97.678021,2017,2017-05-16,Live Oak,Private
66,77,30.382171,-97.678285,2017,2017-05-16,Live Oak,Unknown
67,78,30.416845,-97.726327,2015,2015-06-15,Live Oak,Unknown
67,78,30.416493,-97.726092,2016,2016-04-07,Live Oak,Unknown
67,78,30.416896,-97.726975,2016,2016-04-07,Live Oak,Unknown
67,78,30.416724,-97.727049,2016,2016-04-07,Live Oak,Unknown
67,78,30.41652,-97.726616,2016,2016-08-18,Live Oak,Unknown
67,78,30.416528,-97.726938,2017,2017-07-07,Live Oak,Public
67,78,30.417179,-97.727201,2019,2019-11-12,Live Oak,
68,79,30.422525,-97.731644,2015,2015-08-12,Live Oak,Unknown
68,79,30.422575,-97.731297,2016,2016-03-15,Live Oak,Unknown
68,79,30.422575,-97.731297,2016,2016-05-05,Live Oak,Unknown
68,79,30.422808,-97.731278,2017,2017-07-18,Live Oak,Private
69,80,30.346735,-97.758164,2012,2012-07-18,"Live Oaks, Red Oak",Unknown
69,80,30.346635,-97.758244,2015,2015-09-02,Live Oak,Unknown
69,80,30.346807,-97.758595,2016,2016-05-17,"Live Oak, Red Oak",Unknown
